"parasite_species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","host_species","host_genus","host_in_cycle_exposed","to_int_def","exposure_type","likely_undercount","dpi","dose","sample_size","tot_given","tot_recovered","recovery_rate","worm_length","worm_width","worm_volume","imputed_worm_volume","log_ws","host_bm","log_hm","study"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,5,500,185,0.37,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,21,0.21,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,16,0.16,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,18,0.18,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,6,0.06,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,12,0.12,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,5,0.05,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",37,100,1,100,0,0,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,37,0.37,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,12,0.12,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,9,0.09,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,39,0.39,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,33,0.33,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,6,0.06,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,6,0.06,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",44,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,56,0.56,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,25,0.25,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,44,0.44,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,24,0.24,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,39,0.39,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,0,0,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,1,0.01,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",51,100,1,100,3,0.03,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,73,0.73,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,39,0.39,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,9,0.09,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,26,0.26,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,26,0.26,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,1,0.01,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,26,0.26,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,7,0.07,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",58,100,1,100,10,0.1,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,60,0.6,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,26,0.26,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,23,0.23,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,27,0.27,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,31,0.31,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,5,0.05,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",65,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",2,100,5,500,40,0.08,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",6,100,5,500,50,0.1,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",11,100,5,500,45,0.09,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",120,100,5,500,105,0.21,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Anisakis pegreffii","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","Oncorhynchus mykiss","Oncorhynchus","3","Intermediate","Individual","no",3,40,1,40,13,0.325,21.19666667,0.433333333,3.106630393,3.106630393,1.13353866388826,8768.414644,9.07891129867182,"Quiazon et al. 2011 . Parasitol. International 60 : 126-131"
"Anisakis pegreffii","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","Oncorhynchus mykiss","Oncorhynchus","3","Intermediate","Individual","no",3,40,1,40,29,0.725,21.19666667,0.433333333,3.106630393,3.106630393,1.13353866388826,8768.414644,9.07891129867182,"Quiazon et al. 2011 . Parasitol. International 60 : 126-131"
"Anisakis pegreffii","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","Oncorhynchus mykiss","Oncorhynchus","3","Intermediate","Individual","no",3,40,1,40,19,0.475,21.19666667,0.433333333,3.106630393,3.106630393,1.13353866388826,8768.414644,9.07891129867182,"Quiazon et al. 2011 . Parasitol. International 60 : 126-131"
"Anisakis pegreffii","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","Oncorhynchus mykiss","Oncorhynchus","3","Intermediate","Individual","no",7,40,1,40,40,1,21.19666667,0.433333333,3.106630393,3.106630393,1.13353866388826,8768.414644,9.07891129867182,"Quiazon et al. 2011 . Parasitol. International 60 : 126-131"
"Anisakis pegreffii","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","Oncorhynchus mykiss","Oncorhynchus","3","Intermediate","Individual","no",7,40,1,40,17,0.425,21.19666667,0.433333333,3.106630393,3.106630393,1.13353866388826,8768.414644,9.07891129867182,"Quiazon et al. 2011 . Parasitol. International 60 : 126-131"
